user_id,total_debt,avg_monthly_spending,total_balance,income,age,gender,credit_score,dependents,loan_amount
69,10667.78,2388.44,47494.94,69468.28,20,Male,665,5,81946.73
70,40799.82,2451.53,33061.61,106350.78,75,Female,522,5,55563.7
71,7003.56,1948.02,172167.81,106014.45,63,Male,663,3,137229.19
72,17037.9,2469.21,121387.19,76936.42,74,Male,541,4,55117.73
73,21147.32,1857.21,25428.74,117857.16,55,Female,592,0,154032.69
74,2093.98,1514.39,154255.5,120507.59,50,Female,628,0,211852.74
75,7219.66,1753.38,47148.74,61962.76,60,Male,511,3,44103.13
76,2909.49,1673.02,38772.27,37347.88,58,Female,850,5,72320.78
77,34002.25,2337.3,160361.69,96180.65,36,Non-Binary,806,5,120129.35
78,9142.27,1394.02,128590.69,72663.53,45,Male,691,1,121926.41
79,1775.97,1796.79,124774.37,79266.38,60,Non-Binary,739,5,129888.05
80,35733.25,2192.95,52281.41,96660.27,72,Male,749,4,104451.7
81,9339.51,2133.67,60896.11,65193.18,36,Female,661,4,76986.87
82,12850.78,2034.9,43938.3,51187.24,32,Non-Binary,754,5,66454.95
83,103.86,1991.43,23434.37,31344.88,40,Non-Binary,628,0,55893.03
84,10088.88,1663.03,7033.76,38610.91,69,Female,666,1,51246.78
85,21882.16,1886.92,59092.04,48358.49,47,Male,494,3,19612.07
86,40609.06,1534.25,162402.7,88544.5,65,Non-Binary,448,3,27088.14
87,13940.46,1615.64,84945.23,114314.77,27,Non-Binary,850,0,301123.3
88,463.49,2745.54,57740.85,54134.48,24,Female,789,1,128839.67
89,12013.6,2754.2,18065.39,24978.56,27,Male,701,0,28358.96
90,16271.91,1629.0,0.0,106682.16,45,Female,805,4,174327.69
91,12820.11,1710.03,129194.81,109589.34,57,Male,640,4,125624.21
92,26544.88,2709.6,3140.73,76773.55,23,Female,659,0,98357.55
93,4605.52,1294.86,54706.69,52918.7,69,Male,617,2,66830.42
94,11426.34,1734.31,79260.23,101927.65,22,Non-Binary,633,2,131506.79
95,812.42,2665.17,51424.5,83927.5,20,Female,475,1,71403.42
96,13464.88,2438.61,30024.01,35366.31,62,Female,691,4,32697.41
97,21957.02,1849.52,11042.29,104776.54,40,Female,661,0,163079.58
98,4902.02,1790.52,29241.21,31355.15,72,Female,551,3,25351.87
99,6443.99,1598.53,20295.31,101123.33,59,Male,673,1,173366.6
100,10247.96,2225.73,17697.91,46386.81,63,Female,530,4,31736.68
101,34805.33,2134.59,20777.95,121731.3,36,Female,720,5,139398.1
102,2632.34,3137.1,15136.6,27667.99,67,Male,549,0,34003.09
103,20495.11,2175.33,47936.68,118722.22,47,Male,499,3,74634.88
104,41320.42,2048.05,78707.78,85057.53,44,Non-Binary,670,5,61789.29
105,28031.85,2089.96,37839.68,73248.38,49,Female,791,2,96879.29
106,19820.01,2244.0,123788.2,77012.92,19,Female,599,3,65293.8
107,34072.28,1800.25,87383.28,85591.48,66,Female,586,3,56259.4
108,5480.07,3137.71,85885.04,56777.52,76,Female,570,0,75547.3
109,23801.38,2362.39,50558.2,91410.68,31,Female,731,3,111260.75
110,35890.92,1040.34,48544.97,84610.45,28,Non-Binary,600,2,63778.85
111,8563.75,1142.99,123288.11,93737.09,36,Female,632,2,123393.07
112,16267.73,2234.45,51385.02,49637.76,33,Non-Binary,645,0,62796.95
113,15763.51,2694.88,66447.88,63685.1,42,Non-Binary,605,4,55807.16
114,61.16,1863.65,12122.9,36644.47,57,Male,769,1,84228.09
115,50863.34,2369.56,121007.3,110339.52,64,Female,805,3,114681.78
116,39706.05,3203.06,111878.68,96194.14,64,Male,465,4,35587.76
117,38202.27,1347.18,155831.07,130357.58,21,Non-Binary,744,0,223184.12
118,44836.29,1183.21,121250.21,103251.56,33,Non-Binary,614,0,100050.17
119,21470.52,619.71,38427.45,48951.38,78,Male,660,5,37774.29
120,40803.76,2049.25,56084.53,82243.5,47,Male,685,3,60917.15
121,3168.51,2898.97,72022.79,93671.86,70,Female,740,4,152045.68
122,41416.92,1757.0,90725.72,100539.48,45,Male,645,2,89006.95
123,28766.24,2812.46,108360.82,108240.8,56,Female,709,5,124110.78
124,13272.36,2555.86,46492.07,81372.3,35,Female,643,0,127409.1
125,6749.3,2336.23,119619.08,122107.09,73,Female,581,5,123768.48
126,7116.26,2415.41,185219.71,133766.01,18,Female,491,4,92362.25
127,49340.1,1078.57,55239.11,113451.56,27,Male,571,4,66338.33
128,1648.46,1482.27,9965.86,101288.41,26,Female,480,5,68479.83
129,13094.42,1836.16,92008.45,81077.15,35,Male,579,2,82766.08
130,12449.07,2389.66,123956.22,98543.84,63,Female,470,4,55883.41
131,34125.42,1718.23,111689.49,109518.82,74,Non-Binary,618,3,91541.67
132,11632.25,1642.2,92569.29,110230.79,72,Female,591,3,109552.06
133,7025.66,1710.48,74231.33,54616.37,76,Non-Binary,627,2,67907.8
134,4828.88,2406.56,38833.7,32964.22,19,Non-Binary,691,0,60005.32
135,8975.1,2549.01,23999.5,73013.23,49,Male,655,2,99201.08
136,11886.88,2030.78,73080.75,65448.02,22,Non-Binary,424,4,25358.85
137,7873.61,2070.04,28768.4,44493.09,38,Non-Binary,691,4,54669.82
138,2238.25,2569.35,0.0,83658.5,25,Male,712,1,164676.21
139,28174.48,1620.06,65055.1,97398.49,42,Male,403,1,35002.32
140,17947.22,1270.74,106195.38,77167.37,34,Non-Binary,754,5,102655.84
141,20891.89,1954.87,213309.45,97520.38,20,Non-Binary,685,3,112644.2
142,32633.0,2897.71,69137.17,81928.8,75,Female,620,3,60230.99
143,24123.6,1965.43,15726.65,51694.1,51,Non-Binary,598,1,40333.82
144,59474.97,2425.71,210390.75,130536.21,25,Non-Binary,621,0,124422.57
145,27283.73,2049.33,17730.26,86279.91,48,Male,771,2,121253.89
146,3720.92,1937.13,34639.25,44384.68,61,Female,746,5,69246.83
147,18444.38,2081.46,69422.27,94270.57,72,Male,692,2,129704.48
148,25599.94,3687.96,134169.1,119581.56,41,Non-Binary,701,3,143894.73
149,4661.23,1003.23,48423.78,63833.14,31,Male,602,4,68230.68
150,25010.51,1721.55,93066.69,82893.75,74,Non-Binary,500,0,63145.68
151,28547.37,2609.71,112611.51,124026.52,40,Female,563,3,95878.66
152,5980.08,1726.96,29575.62,88748.42,78,Female,656,5,112504.84
153,2263.24,1930.15,24940.62,25689.46,19,Non-Binary,575,3,24597.62
154,53576.66,1918.99,64331.55,110479.56,34,Female,616,5,68656.52
155,38961.93,1941.99,108723.54,80701.76,25,Non-Binary,570,3,43030.47
156,12813.71,2174.98,64285.95,89649.13,67,Male,634,3,97986.3
157,17392.83,2751.82,54560.86,56923.64,21,Non-Binary,850,2,94874.68
158,7347.24,1931.6,92829.66,87772.47,65,Non-Binary,796,2,174069.62
159,2217.51,1728.72,3188.55,52128.79,80,Male,491,4,36398.97
160,32344.63,1862.37,45638.48,78156.63,78,Male,781,3,84136.58
161,17698.56,2582.6,15095.84,114999.19,58,Non-Binary,488,3,69844.27
162,3361.92,1868.63,0.0,75709.46,23,Male,596,0,116808.46
163,24307.65,2291.26,65235.7,93262.89,52,Non-Binary,630,0,124119.9
164,303.09,1987.64,56422.53,59196.61,33,Female,678,5,84999.42
165,33306.71,765.71,162812.05,75145.86,22,Male,625,4,51919.13
166,28016.7,2392.95,78426.6,63931.44,42,Male,793,3,67605.43
167,46462.47,1996.59,120045.8,128371.39,28,Non-Binary,668,2,131531.41
168,26339.38,2098.45,115949.44,85271.55,45,Male,734,1,125558.33
169,8419.67,2169.58,46585.23,75462.02,46,Male,628,2,95956.05
170,2732.43,3303.42,67319.55,66297.98,40,Non-Binary,767,5,113343.23
171,4194.95,2529.98,29322.64,72292.23,28,Non-Binary,730,2,127775.37
172,24103.96,1856.56,139526.33,101590.9,77,Non-Binary,487,5,55325.84
173,12146.09,1728.98,82071.59,69099.77,80,Male,589,3,62845.99
174,24090.89,2403.29,85541.16,69056.7,59,Female,636,5,57687.49
175,43723.37,3169.55,87344.93,97531.69,19,Non-Binary,495,0,57232.96
176,34997.87,1595.77,32399.69,91517.77,56,Non-Binary,641,5,73589.41
177,366.88,3092.86,62467.16,40027.53,79,Female,748,2,77532.98
178,1187.86,2611.92,11893.55,95850.66,30,Male,514,4,77348.12
179,12264.59,1614.87,80522.17,85512.66,32,Female,746,0,178192.93
180,31036.74,2357.52,10864.07,70552.2,22,Male,752,3,68197.26
181,16038.54,2304.35,53844.27,77238.35,27,Male,650,4,81785.48
182,47981.5,1995.92,241116.51,131608.52,29,Female,698,1,163392.7
183,4186.75,771.39,7765.89,49040.58,30,Male,610,0,75843.89
184,3836.3,1636.47,61577.09,52829.2,25,Female,625,3,60795.83
185,7076.22,1668.68,37423.58,110804.54,78,Non-Binary,548,1,126284.59
186,44708.16,1749.69,44252.26,105139.85,47,Male,494,1,57553.35
187,26277.16,2036.41,53761.71,54067.25,31,Non-Binary,552,3,26739.59
188,33275.75,1855.03,111534.77,70947.97,52,Non-Binary,701,3,57680.31
189,25463.25,896.03,0.0,101871.63,58,Male,645,4,100651.0
190,24422.69,2666.87,0.0,72900.33,56,Non-Binary,659,1,85435.82
191,53191.9,670.61,101780.23,111140.22,31,Male,637,0,106520.43
192,16547.92,1745.08,117808.33,105002.97,77,Male,562,1,113769.48
193,40193.07,1576.62,96296.53,90995.42,21,Female,736,3,84572.79
194,45798.52,2284.88,70165.33,102702.14,70,Female,641,3,74089.09
195,12515.32,1500.8,97560.87,61589.39,57,Male,807,4,94998.87
196,19190.64,1620.6,52467.87,73301.04,55,Male,762,5,95451.21
197,32527.5,1640.95,71275.88,102986.85,50,Non-Binary,707,0,156420.46
198,4666.8,2728.24,90327.15,73377.14,79,Female,467,3,43812.25
199,99.39,1217.21,47163.79,51582.65,20,Non-Binary,499,3,39117.92
200,633.67,2124.17,10732.46,35918.75,26,Non-Binary,446,3,19669.84
201,8103.22,2011.84,77606.23,91938.06,45,Non-Binary,649,2,127672.97
202,15191.43,1772.88,44896.07,98830.28,72,Male,777,3,152329.44
203,10332.45,1968.92,94997.44,101065.3,20,Female,645,0,170742.92
204,24206.82,1411.12,28524.81,59335.87,53,Female,824,0,100406.38
205,16607.72,1284.39,90659.91,88488.37,42,Non-Binary,686,4,105939.29
206,11035.69,2126.11,10072.63,31991.3,47,Female,630,3,26404.5
207,4131.44,1925.24,0.0,132913.48,41,Non-Binary,462,3,79657.56
208,14468.38,1058.47,0.0,85741.99,26,Non-Binary,686,0,150063.7
209,17824.58,2826.76,47984.72,48510.05,23,Female,636,4,39367.14
210,34715.05,1353.24,64311.99,113918.07,74,Non-Binary,602,0,130469.48
211,20205.42,2239.45,40186.55,48223.07,37,Male,462,3,17330.45
212,4272.67,1450.44,9926.52,60708.78,25,Non-Binary,577,1,76742.94
213,31142.07,1885.46,68802.61,82789.92,53,Non-Binary,826,3,103728.42
214,23714.68,2373.95,109395.57,107917.72,50,Female,847,5,175862.34
215,28529.01,2254.35,50929.26,70454.97,72,Non-Binary,699,2,72997.61
216,28220.15,2142.22,47152.18,75774.41,67,Non-Binary,711,2,85287.07
217,7171.2,2698.28,17592.13,63947.91,65,Female,641,3,73923.42
218,21861.25,1793.58,15633.29,64071.2,21,Male,648,4,56085.97
219,39800.49,2483.84,24370.1,102793.15,48,Non-Binary,653,1,109161.22
220,21981.2,2213.3,92029.05,66006.35,43,Male,447,5,24710.3
221,38389.11,2951.35,45959.58,81055.0,48,Non-Binary,649,5,56854.87
222,15284.05,1872.67,27383.93,39623.59,52,Male,721,0,55893.32
223,303.66,2086.96,47940.14,60950.04,24,Male,692,3,90771.1
224,6968.03,2692.73,61014.98,65270.1,52,Male,556,1,73269.94
225,28147.76,1356.05,137922.35,107393.58,32,Female,615,0,136159.18
226,5895.51,2163.66,15761.8,52059.92,43,Male,656,0,89643.11
227,25436.22,1831.78,55214.16,56039.24,71,Male,601,2,40196.27
228,35796.0,2375.9,48832.66,92421.44,71,Non-Binary,563,1,73109.09
229,21651.94,2513.16,162820.88,112918.71,27,Male,485,4,64467.66
230,10628.29,1973.51,65432.52,72798.55,23,Female,414,1,34792.82
231,23396.4,2408.56,20499.23,69306.22,79,Male,685,5,67487.93
232,52126.29,1945.48,50150.19,117467.57,31,Female,643,5,85573.9
233,31348.67,1886.25,141114.05,105651.27,23,Non-Binary,609,2,100187.32
234,27362.98,2423.09,148224.76,151819.95,48,Male,688,0,263396.59
235,3415.7,2043.25,124251.21,108378.33,28,Male,801,3,200784.03
236,42810.84,2299.86,53972.8,106127.11,22,Female,680,1,118114.38
237,23517.01,2127.22,72810.59,60460.15,28,Male,363,5,8886.6
238,23594.57,2319.19,102266.68,95165.28,76,Male,761,4,125977.9
239,38896.02,1346.92,63348.72,84768.86,24,Female,664,4,63755.54
240,2504.36,1578.73,92758.27,90007.6,77,Male,482,2,69493.5
241,646.15,1591.02,0.0,93437.31,44,Non-Binary,673,2,151030.28
242,1694.55,1678.03,14125.14,45799.82,28,Female,716,0,100078.95
243,7338.37,1442.66,0.0,77265.24,69,Female,770,1,161340.58
244,38030.33,2039.83,56624.01,93196.99,43,Female,808,5,107004.05
245,11047.28,1870.8,23653.77,26812.56,46,Non-Binary,668,1,28481.44
246,50498.98,1944.73,34527.62,112979.62,37,Non-Binary,600,2,81793.42
247,31750.75,2508.19,152797.58,79815.16,25,Male,723,5,77629.03
248,804.76,2168.74,0.0,32863.63,74,Male,669,5,45168.07
249,35823.58,1662.38,60991.73,112333.72,63,Female,629,0,137301.5
250,19081.39,2372.76,53006.64,79892.64,75,Female,519,3,50849.46
251,24206.07,2486.1,47341.24,52303.18,35,Male,519,1,30207.45
252,17895.05,1610.55,47943.74,47431.78,46,Male,561,2,33640.08
253,5739.71,2176.66,61268.0,43848.45,49,Male,546,4,35794.62
254,38418.96,1423.43,235284.5,156328.34,71,Non-Binary,641,2,175449.52
255,15350.56,2026.58,123510.38,69760.08,77,Male,774,3,98471.74
256,43441.53,2634.38,120525.12,130901.85,51,Non-Binary,721,4,140589.02
257,4326.12,1364.08,74757.4,95307.95,78,Non-Binary,787,0,241680.95
258,33758.53,1563.24,90875.65,94619.21,66,Male,598,1,89034.16
259,19876.92,1821.77,0.0,59527.48,79,Female,741,2,76302.74
260,31621.09,2254.39,47356.41,63492.39,53,Female,434,0,23295.39
261,7318.04,1120.24,92542.51,77346.98,36,Female,728,3,114440.18
262,11446.06,1612.34,20381.45,51411.83,54,Male,535,2,40983.31
263,33251.11,1743.03,25725.59,67436.65,46,Male,663,4,47381.84
264,37116.76,1512.13,108583.14,80035.68,47,Male,697,0,92939.97
265,693.66,1639.74,88908.51,81842.96,56,Male,661,3,111853.26
266,19091.25,1856.8,41592.44,63053.49,51,Male,576,3,46328.53
267,1591.82,2157.45,49164.76,37944.8,61,Non-Binary,642,1,61033.42
268,37397.75,2410.73,24945.2,93094.43,48,Non-Binary,729,3,91231.82
269,12930.41,2120.75,14202.79,32395.75,43,Female,786,0,51601.9
270,16005.27,1915.12,98529.6,73263.75,42,Male,810,2,127426.63
271,15354.45,1670.12,141981.94,100351.48,75,Non-Binary,734,2,160969.21
272,23962.56,2265.17,54836.41,95498.09,36,Female,697,2,123925.99
273,8183.91,2272.62,0.0,96550.91,33,Male,646,3,116740.95
274,22808.96,2127.07,19990.1,68698.76,74,Female,470,3,29786.87
275,15170.22,2403.79,52383.8,55169.28,74,Female,779,4,73155.15
276,4894.23,1745.08,67766.56,82527.8,78,Female,475,5,51873.38
277,28981.31,1321.24,23890.54,83261.85,36,Female,634,4,69222.94
278,3377.14,1125.68,62509.38,79031.69,43,Non-Binary,731,3,124499.95
279,5938.99,2176.85,55831.11,59655.29,38,Male,744,4,91063.95
280,7547.55,1525.73,79394.8,74138.59,71,Female,537,3,60258.93
281,6744.72,1511.83,101959.1,90732.71,50,Female,530,3,73756.79
282,38940.61,1930.66,115259.34,185104.5,55,Non-Binary,717,4,232719.82
283,33197.05,2344.65,10806.16,92107.1,21,Male,738,2,112593.86
284,29472.99,1974.63,142205.36,104607.61,45,Male,526,3,64834.59
285,2914.71,1228.96,37162.07,112150.87,61,Male,642,1,183397.63
286,18804.44,1801.29,107286.84,81518.13,44,Male,643,2,93865.64
287,41383.79,2511.6,75620.59,100275.06,19,Male,652,3,79150.42
288,27892.69,1658.24,71860.06,57905.77,22,Non-Binary,847,5,62684.69
289,1511.53,1322.22,12877.1,22901.61,78,Male,656,2,33228.62
290,26227.32,1966.88,88804.19,118536.94,52,Female,522,3,78245.18
291,24814.99,1879.1,0.0,86891.87,25,Male,779,5,113533.49
292,24577.63,2155.28,49015.54,86814.47,29,Female,648,1,106323.64
293,9886.63,2424.01,0.0,98709.55,18,Non-Binary,678,3,128195.84
294,8966.28,2007.5,103515.24,84184.68,77,Female,619,4,91616.14
295,4245.12,2234.86,81418.61,71523.3,57,Male,723,4,108660.47
296,19673.74,1671.43,109277.62,62718.82,30,Male,684,0,90160.53
297,19734.59,1702.58,55134.6,89047.93,26,Non-Binary,528,3,60340.61
298,24292.45,1999.02,18079.79,69027.08,27,Female,737,0,106631.93
299,26760.68,1632.98,0.0,60107.95,61,Non-Binary,760,2,66937.96
300,39408.67,1557.67,85871.27,93014.94,64,Male,539,1,62895.27
301,22817.51,1148.31,30784.57,69047.5,61,Male,602,1,68538.55
302,26339.99,2045.53,26422.13,122989.55,26,Female,718,2,176289.19
303,26712.8,1701.77,59909.67,57188.17,49,Male,717,0,69318.68
304,14492.67,2762.64,190635.24,112636.33,33,Male,634,2,143040.11
305,7722.69,2144.6,71939.57,116576.99,54,Male,680,3,157937.79
306,14046.63,1700.15,73932.11,69234.15,28,Male,621,3,67640.08
307,17372.33,2129.1,136485.77,107114.67,69,Male,801,0,245241.78
308,33551.91,2214.83,140880.86,112116.8,46,Male,537,4,71094.35
309,8858.35,1352.88,55407.13,60466.45,77,Male,784,2,108996.62
310,580.23,1555.42,68637.48,62477.53,19,Female,613,0,105675.59
311,34898.57,1790.44,48949.48,73187.93,56,Male,529,1,43044.74
312,17055.06,1743.77,0.0,52213.22,22,Non-Binary,692,5,52622.67
313,8166.42,1902.55,64187.45,102852.76,20,Male,659,2,148330.58
314,23570.71,2392.77,67258.19,64627.51,62,Male,676,4,58943.16
315,477.54,2528.82,156721.93,83957.6,74,Female,708,4,130046.76
316,15616.13,1559.62,35747.68,70539.66,64,Female,645,1,93020.86
317,27783.27,1684.71,42725.37,63060.38,34,Male,588,1,49876.04
318,30456.44,2230.11,101851.42,115653.99,22,Non-Binary,736,0,202615.89
319,7025.55,2673.79,130845.69,88724.08,67,Non-Binary,748,2,159713.35
320,40160.85,1214.09,66716.02,106591.23,73,Non-Binary,633,2,96529.93
321,29350.14,3289.51,85539.9,81500.32,63,Male,740,0,125161.3
322,7686.37,1601.31,66881.42,97200.23,19,Male,598,2,116400.67
323,19591.64,2447.59,26194.9,55372.92,25,Non-Binary,697,5,54238.45
324,514.74,2418.61,46154.52,107661.66,29,Non-Binary,850,1,289296.7
325,33679.71,1857.88,82958.81,71130.76,24,Male,661,2,58996.36
326,49225.57,1851.95,29923.81,114465.75,38,Male,682,2,108750.17
327,14612.12,2779.47,220581.86,138207.1,40,Female,705,2,218426.22
328,29142.12,2404.16,42357.1,74522.48,29,Female,709,2,80992.26
329,18841.15,1890.15,45647.29,55207.57,34,Non-Binary,772,3,65539.52
330,21425.89,2371.63,87403.25,51952.67,49,Female,774,2,63141.33
331,35845.09,1953.72,7870.38,78104.14,33,Female,605,2,56243.56
332,4528.02,2154.06,0.0,52922.41,22,Male,665,2,77079.2
333,4555.91,2063.2,78255.39,93886.05,49,Non-Binary,657,1,156555.22
334,5495.43,1766.66,2434.41,20000.0,61,Non-Binary,666,3,20269.86
335,48940.79,1167.89,114189.26,104209.6,44,Male,684,0,115764.02
336,3722.51,2169.92,81831.87,83801.71,64,Female,701,0,175155.15
337,3091.99,1560.24,103342.15,70850.85,20,Non-Binary,571,3,70111.99
338,25160.57,1980.51,89749.21,98291.35,30,Non-Binary,776,0,189874.76
339,33274.82,1288.4,10137.9,83210.58,78,Non-Binary,713,2,89994.04
340,3040.94,1754.18,0.0,110120.44,57,Non-Binary,720,2,196247.57
341,1659.28,1382.61,58334.64,76105.24,46,Non-Binary,601,5,85558.74
342,3198.41,1261.24,84683.58,56113.47,26,Female,618,2,73426.94
343,31116.57,2855.35,0.0,74580.6,57,Male,615,4,52275.88
344,34732.66,2776.78,40155.3,83688.98,71,Non-Binary,713,3,77200.32
345,7671.19,1988.06,141257.42,82692.78,26,Non-Binary,648,2,113923.84
346,28119.59,2249.67,69052.47,69513.78,45,Female,722,5,66697.98
347,18264.14,2451.32,133477.74,85811.86,45,Non-Binary,751,3,116317.54
348,36801.12,1536.32,85520.27,90526.97,20,Non-Binary,703,0,118100.08
349,28000.2,2279.42,73364.62,69157.4,53,Non-Binary,574,0,61511.91
350,25221.96,1574.25,58109.19,68296.41,18,Female,727,1,90292.65
351,26776.31,2402.7,189065.88,105586.94,50,Male,502,4,60784.69
352,3472.18,1048.51,79413.45,101430.15,23,Female,834,4,199727.47
353,22892.43,2990.84,89047.67,89299.05,39,Female,815,0,186542.95
354,17429.28,3101.55,0.0,77990.7,73,Male,499,5,46015.84
355,5249.62,1815.47,88079.74,100290.52,47,Female,678,5,137170.01
356,27073.32,1761.41,106963.46,111419.71,71,Male,529,0,105356.61
357,41227.56,1337.53,89231.61,95013.75,80,Non-Binary,600,1,79213.03
358,19302.38,1372.79,38930.49,60878.46,74,Non-Binary,782,5,76515.69
359,20710.16,1869.09,133484.22,104775.67,58,Female,502,2,74100.1
360,36376.7,797.95,84900.67,76103.56,71,Female,567,1,52071.71
361,15712.83,2475.12,134201.58,92876.16,38,Male,662,2,121890.27
362,23985.24,1618.91,0.0,85880.57,26,Non-Binary,625,3,76806.82
363,26454.9,2063.37,47880.79,76837.07,47,Male,651,3,67521.73
364,18377.04,1830.66,0.0,87789.61,60,Non-Binary,675,1,127782.62
365,19831.8,1568.71,55683.18,81664.8,63,Female,423,4,29039.14
366,1675.8,1522.32,59098.35,49331.75,31,Male,565,5,48219.19
367,32335.83,1486.57,37189.37,110259.97,70,Non-Binary,635,5,99672.43
368,25238.1,1747.0,152610.7,68564.85,71,Non-Binary,798,0,117692.21
369,32370.89,1796.43,34199.91,120980.04,74,Non-Binary,661,0,174480.0
370,16637.51,2324.83,63833.71,55230.58,21,Female,586,5,42143.96
371,32094.48,1814.61,198173.51,143108.09,45,Male,582,0,170759.46
372,10164.71,1626.41,29560.22,88012.68,74,Female,741,0,187260.03
373,38672.37,2546.39,78678.69,83608.46,27,Non-Binary,644,2,67453.85
